plane,cell,m_centre,m_corner,m_edge,contrast,p_contrast,null_sd,spatial_info,p_info,r_speed,p_speed,n_centre,n_corner,q_contrast,q_info,q_speed,preference
A,A13,0.06870083146275764,-0.030728432732789586,0.016929023401913088,0.09942926419554723,0.33233383308345826,0.12162310378417152,0.05999806771781464,0.47726136931534235,0.02291689227253669,0.4017991004497751,83,623,0.5697151424287856,0.6410128269198734,0.6887984579139003,none
A,A14,-0.08046031284272798,0.0017046855605593486,0.007073283201156112,-0.08216499840328732,0.6626686656671664,0.20473572290156744,0.052753799273007364,0.9470264867566217,-0.0019333482266723602,0.9570214892553723,83,623,0.8835582208895553,0.9470264867566216,0.9570214892553722,none
A,A15,0.07673596837812843,0.04829862724182077,-0.04591829993329854,0.028437341136307664,0.8265867066466767,0.15071541204343952,0.08577128946729809,0.05697151424287856,0.07333431352816296,0.0079960019990005,83,623,0.9480714188360365,0.1864522284312389,0.06836581709145428,none
A,A16,-0.5204257462782226,0.11119449472733647,-0.03284487817888933,-0.631620241005559,0.008995502248875561,0.19335661085300154,0.1107458231499386,0.01699150424787606,-0.07187435916831417,0.009495252373813094,83,623,0.044977511244377814,0.12233883058470765,0.06836581709145428,corner
A,A17,0.5124212580888382,-0.026247640213368718,-0.03297063547663083,0.5386688983022069,0.0004997501249375312,0.14805548016648531,0.0804865671312233,0.1774112943528236,0.044011068782186025,0.11644177911044477,83,623,0.004497751124437781,0.4754765474405654,0.41919040479760117,centre
A,A18,-0.11126304979094151,-0.01854157179297963,0.026179133954249933,-0.09272147799796188,0.5967016491754122,0.17588118482391887,0.058128127405960024,0.5497251374312844,-0.021472770853177104,0.43278360819590206,83,623,0.8262022834736478,0.6546404217246216,0.7081913588660216,none
B,B1,-0.09589832974632742,0.09406409148763492,-0.06334382530205002,-0.18996242123396234,0.4097951024487756,0.20524397513871417,0.05342423771244311,0.8365817091454273,-0.04138774107948588,0.16091954022988506,84,621,0.6414184212241705,0.8857923979186877,0.4827586206896552,none
B,B2,-0.07648949715107427,0.018400988346195492,-0.006291693084650505,-0.09489048549726976,0.8590704647676162,0.25993142147740217,0.21184495214391563,0.3663168415792104,-0.008438637240461002,0.8015992003998001,84,621,0.9480714188360365,0.6279717284215035,0.9570214892553722,none
B,B3,0.1813213726853457,0.014615611590244455,-0.030575207676868978,0.16670576109510124,0.18140929535232383,0.12640829001919218,0.05575606904621755,0.5402298850574713,-0.015492940671976265,0.5777111444277861,84,621,0.38416086074609757,0.6546404217246216,0.7702815259037149,none
B,B4,-0.0785765959960911,0.03542013892801093,-0.019365373849840436,-0.11399673492410203,0.5197401299350325,0.1507731994595036,0.05284014579733798,0.8180909545227386,-0.028577312043273344,0.2613693153423288,84,621,0.7484257871064467,0.8857923979186877,0.5880809595202399,none
B,B5,0.20312816032134734,-0.03682518216779494,0.0073027329046634545,0.2399533424891423,0.19640179910044978,0.17343016733614,0.09767210646679271,0.03248375812093953,0.03191583377005387,0.24187906046976512,84,621,0.39280359820089955,0.14617691154422788,0.5880809595202399,none
B,B6,0.2614366282857992,0.000866313092293889,-0.02830019774380084,0.2605703151935053,0.0544727636181909,0.14008319768780358,0.05459279402823972,0.7611194402798601,0.01705267613188607,0.4992503748125937,84,621,0.17541229385307347,0.8562593703148427,0.7702815259037149,none
B,B7,0.006919254074330689,-0.023554670360117012,0.017668217548916836,0.0304739244344477,0.9740129935032483,0.22594732876497958,0.11231976862358328,0.18490754622688654,-0.003868785632090023,0.8695652173913043,84,621,0.9740129935032483,0.4754765474405654,0.9570214892553722,none
B,B8,0.0666723236423665,-0.04110542794058223,0.025064145364959527,0.10777775158294872,0.37231384307846077,0.14620001609387434,0.06735814399690765,0.3188405797101449,-0.04690262703213164,0.08745627186406797,84,621,0.6092408341283904,0.5739130434782609,0.3498250874562719,none
B,B9,-0.03820517600623991,-0.007801394154581043,0.010130692521407548,-0.03040378185165887,0.7411294352823589,0.130584297791217,0.058035615816871805,0.4642678660669665,-0.0034685947811687557,0.8610694652673663,84,621,0.9480714188360365,0.6410128269198734,0.9570214892553722,none
B,B10,-0.021568819930747454,-0.037725785580508736,0.031747790842363136,0.016156965649761282,0.8340829585207397,0.25945679132955196,0.11461236989842422,0.8915542228885557,-0.044166931507043795,0.17541229385307347,84,621,0.9480714188360365,0.9170272006853716,0.4857571214392804,none
B,B11,-0.02262963466852147,-0.02998402407726614,0.025812538697029055,0.007354389408744669,0.8690654672663668,0.12592120139037688,0.05278564286773809,0.5637181409295352,-0.03219176131322266,0.2588705647176412,84,621,0.9480714188360365,0.6546404217246216,0.5880809595202399,none
B,B13,0.36558643274028463,-0.0004889004956539357,-0.03824610458161355,0.36607533323593855,0.05847076461769116,0.18019246576260597,0.13604780281279694,0.041979010494752625,0.02468886465554889,0.335832083958021,84,621,0.17541229385307347,0.15112443778110946,0.6665667166416792,none
B,B14,0.0541241997099892,0.0517668170748462,-0.04615550462782216,0.002357382635142999,0.95952023988006,0.1911020232092408,0.07867030258329269,0.24537731134432783,0.0050161036750557214,0.8335832083958021,84,621,0.9740129935032483,0.5196225416703413,0.9570214892553722,none
B,B15,0.031321732105107324,-0.008731566249832755,0.00351104043310327,0.04005329835494008,0.7996001999000499,0.17257682020151588,0.07746445650426931,0.4567716141929036,0.013928416131912822,0.5572213893053474,84,621,0.9480714188360365,0.6410128269198734,0.7702815259037149,none
B,B16,0.4922520114213446,-0.05035118574536622,-0.012680607058516416,0.5426031971667108,0.0024987506246876563,0.19982924566998056,0.14903411432822186,0.014492753623188406,0.07448590145399168,0.005997001499250375,84,621,0.017991004497751126,0.12233883058470765,0.06836581709145428,centre
B,B17,0.31825896186949115,-0.052403811007914504,0.007306935646386947,0.3706627728774057,0.009995002498750625,0.15285031623356474,0.09309952256517505,0.02448775612193903,0.010557280957556724,0.7211394302848576,84,621,0.044977511244377814,0.1259370314842579,0.9271792675091026,centre
B,B18,-0.33155081388766033,0.06923262366141882,-0.019048038902110157,-0.40078343754907914,0.08545727136431784,0.22221375556954592,0.1614732263808591,0.0004997501249375312,0.025307701742602016,0.37031484257871067,84,621,0.21949025487256374,0.017991004497751123,0.6665667166416792,none
B,B19,0.2479956043041453,-0.015439134368689659,-0.014143306061121916,0.26343473867283496,0.079960019990005,0.1477832802275796,0.07765978960969294,0.23238380809595202,-0.004837098792100739,0.9130434782608695,84,621,0.21949025487256374,0.5196225416703413,0.9570214892553722,none
B,B20,-0.3916938097769031,0.09743119101771922,-0.034720112705338084,-0.4891250007946223,0.0079960019990005,0.18691053160148946,0.0714264593976507,0.20939530234882558,-0.026373113039790397,0.33183408295852074,84,621,0.044977511244377814,0.5025487256371813,0.6665667166416792,corner
B,B21,0.02747348220085028,0.00517373001690614,-0.006944224962729709,0.02229975218394414,0.9105447276361819,0.11688995892623127,0.08310376273676989,0.021989005497251374,-0.018716758105983645,0.5152423788105946,84,621,0.964106182203016,0.1259370314842579,0.7702815259037149,none
